成交时间,证券代码,买卖标志,成交价格,成交数量,成交金额,成交编号,账户ID,日期
93331,601012,买入,23.55,100,2355,799719.00 ,680135528,20170430
93331,603722,买入,40.41,100,4041,799804.00 ,680135528,20170430
93331,2422,买入,32.1,200,6420,104000001242319.00 ,680135528,20170430
93331,2292,买入,11.83,100,1183,104000001242435.00 ,680135528,20170430
93331,426,买入,7.24,100,724,103000001203141.00 ,680135528,20170430
93331,600967,买入,11.65,400,4660,799834.00 ,680135528,20170430
93331,300160,买入,5.18,100,518,104000001242870.00 ,680135528,20170430
93331,300065,买入,14.78,100,1478,101000001180594.00 ,680135528,20170430
93331,601599,买入,5.16,100,516,799819.00 ,680135528,20170430
93331,600153,买入,10.73,300,3219,799949.00 ,680135528,20170430
93331,600521,买入,26.62,100,2662,799950.00 ,680135528,20170430
93331,2271,买入,34.82,100,3482,103000001203515.00 ,680135528,20170430
93331,300039,买入,6.76,700,4732,104000001243031.00 ,680135528,20170430
93331,2522,买入,10.32,200,2064,104000001243144.00 ,680135528,20170430
93331,600256,买入,4.26,600,2556,800343.00 ,680135528,20170430
93331,2589,买入,13.26,200,2652,101000001180841.00 ,680135528,20170430
93331,78,买入,5.52,500,2760,104000001243188.00 ,680135528,20170430
93331,778,买入,4.7,400,1880,103000001203868.00 ,680135528,20170430
93331,600311,买入,4.09,100,409,800336.00 ,680135528,20170430
93331,600596,买入,16.76,300,5028,800451.00 ,680135528,20170430
93331,601228,买入,5.82,200,1164,800672.00 ,680135528,20170430
93331,600311,买入,4.09,200,818,800337.00 ,680135528,20170430
93331,2153,买入,28.94,400,11576,101000001180998.00 ,680135528,20170430
93331,2091,买入,7.64,400,3056,104000001243389.00 ,680135528,20170430
93331,300571,买入,63.5,100,6350,101000001181066.00 ,680135528,20170430
93331,300081,买入,12.75,100,1275,102000001186425.00 ,680135528,20170430
93331,600763,买入,45.49,100,4549,800664.00 ,680135528,20170430
93331,2477,买入,3.63,100,363,104000001243735.00 ,680135528,20170430
93331,961,买入,7.2,400,2880,102000001186681.00 ,680135528,20170430
93331,600572,买入,7.25,1000,7250,800792.00 ,680135528,20170430
93331,2886,买入,33.18,100,3318,104000001243851.00 ,680135528,20170430
93331,513,买入,66.49,100,6649,104000001243864.00 ,680135528,20170430
93331,2717,买入,10.49,400,4196,102000001186774.00 ,680135528,20170430
93331,2663,买入,3.64,200,728,104000001243901.00 ,680135528,20170430
93331,2366,买入,16.57,100,1657,104000001243923.00 ,680135528,20170430
93331,2877,买入,21.2,100,2120,104000001243936.00 ,680135528,20170430
93331,2094,买入,22.49,100,2249,101000001181601.00 ,680135528,20170430
93331,300708,买入,22.78,200,4556,102000001186967.00 ,680135528,20170430
93331,2929,买入,48.5,100,4850,103000001204594.00 ,680135528,20170430
93331,600755,买入,8.35,300,2505,801157.00 ,680135528,20170430
93331,600230,买入,27.06,200,5412,801205.00 ,680135528,20170430
93331,600176,买入,11.43,200,2286,801207.00 ,680135528,20170430
93331,600230,买入,27.06,100,2706,801206.00 ,680135528,20170430
93331,2154,买入,3.32,100,332,103000001204681.00 ,680135528,20170430
93331,2127,买入,10.4,400,4160,101000001181888.00 ,680135528,20170430
93331,601607,买入,25.74,500,12870,801153.00 ,680135528,20170430
93331,2129,买入,9.45,100,945,101000001181725.00 ,680135528,20170430
93331,2458,买入,17.42,200,3484,102000001187118.00 ,680135528,20170430
93331,2430,买入,16.25,300,4875,104000001244323.00 ,680135528,20170430
93331,2127,买入,10.4,100,1040,101000001181890.00 ,680135528,20170430
93331,600711,买入,10.57,200,2114,800938.00 ,680135528,20170430
93331,525,买入,19.52,200,3904,103000001205056.00 ,680135528,20170430
93331,553,买入,15.35,100,1535,104000001244566.00 ,680135528,20170430
93331,600366,买入,7.73,200,1546,801420.00 ,680135528,20170430
93331,2382,买入,20.9,300,6270,104000001244657.00 ,680135528,20170430
93331,600789,买入,10.27,1000,10270,801278.00 ,680135528,20170430
93331,300700,买入,53.61,100,5361,102000001187700.00 ,680135528,20170430
93331,300425,买入,5.27,600,3162,102000001187748.00 ,680135528,20170430
93331,600416,买入,8.38,100,838,801620.00 ,680135528,20170430
93332,663,买入,9.11,300,2733,102000001187818.00 ,680135528,20170430
93332,2332,买入,8.86,300,2658,102000001187984.00 ,680135528,20170430
93332,2269,买入,3.15,600,1890,104000001245110.00 ,680135528,20170430
93332,952,买入,14.7,100,1470,101000001182781.00 ,680135528,20170430
93332,2506,买入,5.07,300,1521,101000001182839.00 ,680135528,20170430
93331,600161,买入,28.22,100,2822,802141.00 ,680135528,20170430
93331,603533,买入,39.02,100,3902,802156.00 ,680135528,20170430
93332,8,买入,5.63,500,2815,104000001245305.00 ,680135528,20170430
93332,8,买入,5.63,100,563,104000001245307.00 ,680135528,20170430
93332,300253,买入,12.32,1000,12320,102000001188236.00 ,680135528,20170430
93332,882,买入,2.93,700,2051,102000001188269.00 ,680135528,20170430
93332,2676,买入,3.81,200,762,103000001206098.00 ,680135528,20170430
93332,2078,买入,10.13,400,4052,101000001183214.00 ,680135528,20170430
93332,2815,买入,16.07,200,3214,102000001188513.00 ,680135528,20170430
93332,2465,买入,9.57,200,1914,104000001245695.00 ,680135528,20170430
93332,300738,买入,59.34,100,5934,102000001188569.00 ,680135528,20170430
93332,300415,买入,9.8,100,980,104000001245752.00 ,680135528,20170430
93332,600438,买入,10.79,500,5395,802551.00 ,680135528,20170430
93332,732,买入,21.94,100,2194,103000001206632.00 ,680135528,20170430
