[1]SecuCode|[2]TradingDay|[3]PrevClosePrice|[4]OpenPrice|[5]HighPrice|[6]LowPrice|[7]ClosePrice|[8]TurnoverVolume|[9]TurnoverValue|[10]SecuMarket|[11]SecuCategory|[12]ListedDate|[13]TradeState|[14]SpecialTradeType|[15]Split|[16]Dividend|[17]ActualPlaRatio|[18]PlaPrice|[19]BaseShares|[20]ActualPlaVol|[21]TotalShares|[22]TotalFloatShares|[23]SecuName|[24]ChiName
000656.SZE|20180102|4.95|4.99|5.06|4.98|5.01|25661744|128605452.4|SZE|A|19961128|trade|0|1.0|0.0|0.0|0.0|0|0|5339715816|5233886072|金科股份|金科地产集团股份有限公司
000657.SZE|20180102|12.42|12.39|12.58|12.33|12.55|3574731|44604403.3|SZE|A|19961205|trade|0|1.0|0.0|0.0|0.0|0|0|628654664|245570701|中钨高新|中钨高新材料股份有限公司
000659.SZE|20180102|4.68|4.64|4.71|4.58|4.62|9804751|45484181.2|SZE|A|19961203|trade|2|1.0|0.0|0.0|0.0|0|0|1285702520|1285702520|*ST中富|珠海中富实业股份有限公司
000661.SZE|20180102|183.0|182.77|184.0|177.01|179.51|2727355|490265744.3|SZE|A|19961218|trade|0|1.0|0.0|0.0|0.0|0|0|170112265|170009195|长春高新|长春高新技术产业(集团)股份有限公司
000662.SZE|20180102|14.87|14.88|15.0|14.7|14.86|1804962|26669770.4|SZE|A|19961216|trade|0|1.0|0.0|0.0|0.0|0|0|840844445|287921700|天夏智慧|天夏智慧城市科技股份有限公司
000663.SZE|20180102|17.98|17.88|18.53|17.87|18.4|3739016|68286117.0|SZE|A|19961206|trade|0|1.0|0.0|0.0|0.0|0|0|340988702|215861615|永安林业|福建省永安林业(集团)股份有限公司
000665.SZE|20180102|10.08|10.08|10.14|10.04|10.14|1827721|18460712.2|SZE|A|19961210|trade|0|1.0|0.0|0.0|0.0|0|0|636217448|461027990|湖北广电|湖北省广播电视信息网络股份有限公司
000666.SZE|20180102|19.42|19.37|19.6|19.11|19.46|3732716|72390876.2|SZE|A|19961210|trade|0|1.0|0.0|0.0|0.0|0|0|523330000|293518766|经纬纺机|经纬纺织机械股份有限公司
000667.SZE|20180102|3.04|3.04|3.1|3.04|3.08|24099570|74228659.8|SZE|A|19961205|trade|0|1.0|0.0|0.0|0.0|0|0|2559592332|2539918331|美好置业|美好置业集团股份有限公司
000668.SZE|20180102|14.96|15.0|15.28|14.97|15.08|693167|10470367.7|SZE|A|19961210|trade|0|1.0|0.0|0.0|0.0|0|0|146841890|146688393|荣丰控股|荣丰控股集团股份有限公司
000669.SZE|20180102|14.65|14.35|14.55|14.3|14.39|6272235|90412977.8|SZE|A|19961210|trade|0|1.0|0.0|0.0|0.0|0|0|486006284|478526080|金鸿控股|金鸿控股集团股份有限公司
